Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
69, Paris S-G,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
70, Rayo Vallecano,es La Liga,29,38.0,Na,580,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,707,Na,Na,Na
71, Real Madrid,es La Liga,24,38.0,Na,585,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,643,Na,Na,Na
72, Real Sociedad,es La Liga,27,38.0,Na,601,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,873,Na,Na,Na
73, Reims,fr Ligue 1,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
74, Rennes,fr Ligue 1,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
75, Roma,it Serie A,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
76, Saint-Étienne,fr Ligue 1,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
77, Sampdoria,it Serie A,35,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
78, Sassuolo,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
79, Schalke 04,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
80, Sevilla,es La Liga,33,38.0,Na,511,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,663,Na,Na,Na
81, Southampton,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
