Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
23, Dortmund,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24, Eint Frankfurt,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25, Elche,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26, Espanyol,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27, Everton,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28, Evian,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29, Fiorentina,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30, Freiburg,de Bundesliga,30,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31, Fulham,eng Premier League,39,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32, Genoa,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33, Getafe,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34, Granada,es La Liga,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35, Guingamp,fr Ligue 1,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
36, Hamburger SV,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37, Hannover 96,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
38, Hellas Verona,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
39, Hertha BSC,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
40, Hoffenheim,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
41, Hull City,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
42, Inter,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
43, Juventus,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
44, Lazio,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
45, Levante,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
46, Leverkusen,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
47, Lille,fr Ligue 1,22,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48, Liverpool,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
49, Livorno,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
50, Lorient,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
51, Lyon,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
52, M'Gladbach,de Bundesliga,21,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
53, Mainz 05,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
54, Málaga,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
55, Manchester City,eng Premier League,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
56, Manchester Utd,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
57, Marseille,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
58, Milan,it Serie A,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
59, Monaco,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
60, Montpellier,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
61, Nantes,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
62, Napoli,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
63, Newcastle Utd,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
64, Nice,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
65, Norwich City,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
66, Nürnberg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
67, Osasuna,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
68, Paris S-G,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
69, Parma,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
70, Rayo Vallecano,es La Liga,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
71, Real Madrid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
72, Real Sociedad,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
73, Reims,fr Ligue 1,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
74, Rennes,fr Ligue 1,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
75, Roma,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
76, Saint-Étienne,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
77, Sampdoria,it Serie A,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
78, Sassuolo,it Serie A,38,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
79, Schalke 04,de Bundesliga,30,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
80, Sevilla,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
81, Sochaux,fr Ligue 1,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
82, Southampton,eng Premier League,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
83, Stoke City,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
84, Stuttgart,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
85, Sunderland,eng Premier League,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
86, Swansea City,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
87, Torino,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
88, Tottenham,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
89, Toulouse,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
90, Udinese,it Serie A,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
91, Valencia,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
92, Valenciennes,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
93, Valladolid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
94, Villarreal,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
95, Werder Bremen,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
96, West Brom,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
97, West Ham,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
98, Wolfsburg,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
1, Alavés,es La Liga,28,27.0,395,243,187,163,45,198,426,46.5,228,255,77,178,190,585,603,3
2, Almería,es La Liga,33,27.0,469,269,269,158,42,205,426,48.1,221,308,100,208,209,678,586,9
3, Arsenal,eng Premier League,25,27.0,429,245,177,173,79,203,378,53.7,175,302,76,226,201,630,339,13
4, Aston Villa,eng Premier League,28,27.0,388,229,183,157,48,184,383,48.0,199,271,72,199,177,565,434,6
5, Atalanta,it Serie A,28,27.0,435,268,200,169,66,204,421,48.5,217,347,83,264,249,684,430,6
6, Athletic Club,es La Liga,25,27.0,421,263,156,196,69,223,470,47.4,247,287,60,227,200,621,447,1
7, Atlético Madrid,es La Liga,25,27.0,472,290,217,195,60,237,483,49.1,246,348,91,257,192,664,570,6
8, Augsburg,de Bundesliga,26,24.0,356,218,154,152,50,161,338,47.6,177,311,92,219,206,562,541,7
9, Barcelona,es La Liga,28,27.0,424,273,205,168,51,181,370,48.9,189,271,69,202,178,602,420,12
10, Bayern Munich,de Bundesliga,27,24.0,363,216,149,143,71,169,345,49.0,176,261,44,217,217,580,329,13
11, Betis,es La Liga,35,27.0,471,303,200,211,60,249,489,50.9,240,320,77,243,243,714,596,4
12, Bochum,de Bundesliga,25,24.0,444,269,203,184,57,210,433,48.5,223,334,101,233,225,669,545,6
13, Bologna,it Serie A,26,27.0,461,276,223,198,40,224,429,52.2,205,299,82,217,186,647,502,10
14, Bournemouth,eng Premier League,27,26.0,495,283,224,193,78,227,483,47.0,256,347,108,239,243,738,551,10
15, Brentford,eng Premier League,28,27.0,489,291,255,180,54,230,507,45.4,277,316,92,224,274,763,649,13
16, Brest,fr Ligue 1,23,24.0,491,303,210,217,64,228,515,44.3,287,276,69,207,230,721,452,9
17, Brighton,eng Premier League,27,27.0,439,260,187,182,70,199,456,43.6,257,305,99,206,210,649,415,17
18, Burnley,eng Premier League,30,27.0,439,249,202,171,66,201,413,48.7,212,341,117,224,188,627,599,13
19, Cádiz,es La Liga,32,27.0,454,265,231,174,49,215,482,44.6,267,318,93,225,212,666,584,7
20, Cagliari,it Serie A,28,27.0,375,225,191,138,46,186,376,49.5,190,268,84,184,197,572,562,10
21, Celta Vigo,es La Liga,28,27.0,439,264,204,181,54,216,462,46.8,246,318,82,236,228,667,645,4
22, Chelsea,eng Premier League,30,26.0,468,265,228,167,73,222,425,52.2,203,312,112,200,201,669,525,15
23, Clermont Foot,fr Ligue 1,27,24.0,415,259,199,173,43,229,465,49.2,236,273,83,190,249,664,424,13
24, Crystal Palace,eng Premier League,26,27.0,528,301,265,187,76,223,418,53.3,195,313,95,218,220,748,658,5
25, Darmstadt 98,de Bundesliga,31,24.0,397,235,211,142,44,208,404,51.5,196,270,90,180,223,620,480,14
26, Dortmund,de Bundesliga,31,24.0,395,257,205,152,38,202,371,54.4,169,307,81,226,187,582,476,11
27, Eint Frankfurt,de Bundesliga,32,24.0,430,258,205,170,55,208,376,55.3,168,323,73,250,211,641,546,5
28, Empoli,it Serie A,34,27.0,441,266,219,162,60,219,397,55.2,178,320,103,217,192,633,599,6
29, Everton,eng Premier League,25,27.0,530,315,265,190,75,247,512,48.2,265,340,118,222,272,802,605,7
30, Fiorentina,it Serie A,28,27.0,433,246,180,177,76,211,388,54.4,177,313,68,245,165,598,360,7
31, Freiburg,de Bundesliga,25,24.0,366,202,208,108,50,153,319,48.0,166,314,99,215,198,564,481,3
32, Frosinone,it Serie A,34,27.0,398,236,173,165,60,178,383,46.5,205,321,101,220,178,576,577,11
33, Fulham,eng Premier League,25,27.0,470,269,235,172,63,242,472,51.3,230,318,93,225,301,771,545,12
34, Genoa,it Serie A,31,27.0,452,257,225,179,48,220,422,52.1,202,336,107,229,239,691,558,11
35, Getafe,es La Liga,28,27.0,402,244,184,165,53,196,399,49.1,203,244,81,163,234,636,528,6
36, Girona,es La Liga,23,27.0,396,245,176,173,47,191,377,50.7,186,282,96,186,187,583,497,14
37, Granada,es La Liga,36,26.0,419,244,218,161,40,187,403,46.4,216,270,77,193,170,589,523,20
38, Heidenheim,de Bundesliga,21,24.0,420,244,209,166,45,198,429,46.2,231,323,92,231,219,639,549,4
39, Hellas Verona,it Serie A,34,27.0,428,268,219,159,50,204,410,49.8,206,280,92,188,201,629,560,11
40, Hoffenheim,de Bundesliga,27,24.0,368,218,211,125,32,189,396,47.7,207,282,85,197,239,607,567,6
41, Inter,it Serie A,26,27.0,393,240,175,165,53,159,333,47.7,174,245,75,170,202,595,410,3
42, Juventus,it Serie A,27,27.0,403,256,193,164,46,190,322,59.0,132,264,85,179,186,589,537,2
43, Köln,de Bundesliga,26,24.0,442,267,240,162,40,242,470,51.5,228,374,113,261,225,667,528,6
44, Las Palmas,es La Liga,28,27.0,483,292,238,190,55,228,478,47.7,250,299,78,221,209,692,597,12
45, Lazio,it Serie A,21,27.0,412,247,179,180,53,201,448,44.9,247,312,94,218,201,613,467,6
46, Le Havre,fr Ligue 1,26,24.0,389,228,195,151,43,186,413,45.0,227,268,94,174,253,642,471,5
47, Lecce,it Serie A,26,27.0,442,271,208,182,52,210,403,52.1,193,316,82,234,240,682,529,7
48, Lens,fr Ligue 1,26,24.0,369,214,145,178,46,187,393,47.6,206,279,75,204,203,572,366,8
49, Leverkusen,de Bundesliga,24,24.0,326,195,128,134,64,136,294,46.3,158,241,47,194,164,490,329,8
50, Lille,fr Ligue 1,27,24.0,443,287,192,184,67,204,423,48.2,219,230,53,177,217,660,405,8
51, Liverpool,eng Premier League,29,27.0,466,292,194,191,81,238,549,43.4,311,347,82,265,206,672,449,12
52, Lorient,fr Ligue 1,39,24.0,387,237,219,128,40,179,385,46.5,206,281,102,179,247,634,596,7
53, Luton Town,eng Premier League,24,26.0,455,257,244,156,55,210,425,49.4,215,332,113,219,241,696,639,12
54, Lyon,fr Ligue 1,35,24.0,389,234,167,153,69,169,400,42.3,231,240,80,160,215,604,392,9
55, M'Gladbach,de Bundesliga,27,24.0,408,246,211,171,26,199,375,53.1,176,326,123,203,233,641,639,11
56, Mainz 05,de Bundesliga,30,24.0,396,223,176,176,44,179,373,48.0,194,315,74,241,260,656,477,3
57, Mallorca,es La Liga,23,27.0,491,279,251,201,39,243,482,50.4,239,271,94,177,246,737,559,9
58, Manchester City,eng Premier League,25,27.0,344,200,130,151,63,164,317,51.7,153,238,57,181,164,508,351,11
59, Manchester Utd,eng Premier League,30,27.0,473,285,225,171,77,247,525,47.0,278,367,135,232,213,686,634,8
60, Marseille,fr Ligue 1,31,24.0,414,254,183,186,45,204,411,49.6,207,258,71,187,235,649,482,4
61, Metz,fr Ligue 1,30,24.0,413,247,213,145,55,176,383,46.0,207,296,84,212,256,669,578,4
62, Milan,it Serie A,33,27.0,408,237,202,156,50,195,382,51.0,187,279,112,167,185,593,409,12
63, Monaco,fr Ligue 1,27,24.0,470,294,181,219,70,226,492,45.9,266,300,59,241,280,750,412,11
64, Montpellier,fr Ligue 1,29,24.0,438,265,247,130,61,227,506,44.9,279,287,105,182,225,663,520,4
65, Monza,it Serie A,30,27.0,420,242,223,152,45,194,344,56.4,150,272,108,164,204,624,432,4
66, Nantes,fr Ligue 1,35,24.0,413,257,214,160,39,216,431,50.1,215,251,72,179,243,656,478,2
67, Napoli,it Serie A,29,27.0,408,233,177,163,68,192,414,46.4,222,233,60,173,169,577,396,2
68, Newcastle Utd,eng Premier League,32,27.0,463,274,223,183,57,205,486,42.2,281,347,110,237,188,651,487,13
69, Nice,fr Ligue 1,26,24.0,385,218,163,162,60,201,356,56.5,155,285,81,204,198,583,352,8
70, Nott'ham Forest,eng Premier League,33,27.0,540,309,329,161,50,238,439,54.2,201,355,130,225,229,769,736,10
71, Osasuna,es La Liga,25,27.0,372,226,170,152,50,168,371,45.3,203,282,78,204,190,562,568,11
72, Paris S-G,fr Ligue 1,27,24.0,414,256,174,156,84,206,440,46.8,234,263,86,177,196,610,352,13
73, Rayo Vallecano,es La Liga,25,27.0,425,242,187,197,41,185,421,43.9,236,282,66,216,224,649,608,9
74, RB Leipzig,de Bundesliga,24,24.0,388,219,174,170,44,179,354,50.6,175,327,67,260,175,563,427,9
75, Real Madrid,es La Liga,25,27.0,387,258,172,155,60,152,309,49.2,157,277,72,205,222,609,364,10
76, Real Sociedad,es La Liga,30,27.0,465,294,200,201,64,209,407,51.4,198,297,88,209,189,654,504,12
77, Reims,fr Ligue 1,27,24.0,442,275,200,182,60,224,451,49.7,227,274,78,196,246,688,456,7
78, Rennes,fr Ligue 1,29,24.0,386,229,190,136,60,206,388,53.1,182,271,84,187,245,631,438,6
79, Roma,it Serie A,28,27.0,401,236,186,162,53,176,381,46.2,205,256,84,172,167,568,425,8
80, Salernitana,it Serie A,36,27.0,374,232,202,133,39,184,367,50.1,183,279,108,171,200,574,576,9
81, Sassuolo,it Serie A,30,27.0,350,210,167,138,45,168,361,46.5,193,294,105,189,179,529,526,11
82, Sevilla,es La Liga,35,27.0,496,326,269,166,61,237,443,53.5,206,280,82,198,224,720,513,4
83, Sheffield Utd,eng Premier League,33,27.0,530,303,283,179,68,217,470,46.2,253,368,128,240,248,778,762,16
84, Strasbourg,fr Ligue 1,28,24.0,452,277,230,178,44,230,438,52.5,208,293,86,207,265,717,478,10
85, Stuttgart,de Bundesliga,27,24.0,384,228,159,175,50,180,361,49.9,181,268,84,184,203,587,453,8
86, Torino,it Serie A,28,27.0,329,209,133,164,32,122,261,46.7,139,213,68,145,232,561,413,9
87, Tottenham,eng Premier League,28,26.0,524,320,256,176,92,263,491,53.6,228,307,92,215,238,762,530,16
88, Toulouse,fr Ligue 1,26,24.0,445,264,219,174,52,214,442,48.4,228,312,109,203,217,662,548,4
89, Udinese,it Serie A,32,27.0,417,271,241,143,33,207,390,53.1,183,285,78,207,250,667,657,7
90, Union Berlin,de Bundesliga,30,24.0,378,241,168,164,46,179,346,51.7,167,315,87,228,201,579,576,6
91, Valencia,es La Liga,26,26.0,457,275,225,175,57,222,439,50.6,217,246,54,192,218,675,552,7
92, Villarreal,es La Liga,32,27.0,416,251,206,162,48,195,405,48.1,210,284,99,185,218,634,606,12
93, Werder Bremen,de Bundesliga,28,24.0,414,248,207,164,43,217,423,51.3,206,314,111,203,194,608,553,7
94, West Ham,eng Premier League,24,27.0,486,307,249,181,56,223,413,54.0,190,351,129,222,268,754,678,6
95, Wolfsburg,de Bundesliga,27,24.0,381,216,191,139,51,189,382,49.5,193,310,76,234,212,593,567,7
96, Wolves,eng Premier League,25,27.0,512,305,296,164,52,221,422,52.4,201,359,119,240,223,735,605,12
1, Ajaccio,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2, Arsenal,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3, Aston Villa,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4, Atalanta,it Serie A,35,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5, Athletic Club,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6, Atlético Madrid,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7, Augsburg,de Bundesliga,29,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8, Barcelona,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9, Bastia,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10, Bayern Munich,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11, Betis,es La Liga,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12, Bologna,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13, Bordeaux,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14, Brest,fr Ligue 1,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15, Cagliari,it Serie A,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16, Catania,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17, Celta Vigo,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18, Chelsea,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19, Chievo,it Serie A,35,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20, Dortmund,de Bundesliga,23,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21, Düsseldorf,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22, Eint Frankfurt,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23, Espanyol,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24, Everton,eng Premier League,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25, Evian,fr Ligue 1,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26, Fiorentina,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27, Freiburg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28, Fulham,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29, Genoa,it Serie A,37,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30, Getafe,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31, Granada,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32, Greuther Fürth,de Bundesliga,32,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33, Hamburger SV,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34, Hannover 96,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35, Hoffenheim,de Bundesliga,33,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
36, Inter,it Serie A,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37, Juventus,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
38, La Coruña,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
39, Lazio,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
40, Levante,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
41, Leverkusen,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
42, Lille,fr Ligue 1,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
43, Liverpool,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
44, Lorient,fr Ligue 1,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
45, Lyon,fr Ligue 1,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
46, M'Gladbach,de Bundesliga,22,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
47, Mainz 05,de Bundesliga,29,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48, Málaga,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
